ruu,user,replying-to,sentiment
RUU Kepolisian Negara Republik Indonesia,"{'name': 'JPNN.com', 'username': '@jpnncom', 'profile_id': '1523518470499205121', 'avatar': 'https://pbs.twimg.com/profile_images/1523518470499205121/EJf01gIy_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Ali Syarief - アリ・シャリーフ', 'username': '@alisyarief', 'profile_id': '1726640082764128256', 'avatar': 'https://pbs.twimg.com/profile_images/1726640082764128256/-lB6UFsk_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'jhefiktif', 'username': '@jhefiktif', 'profile_id': '1761255949476691968', 'avatar': 'https://pbs.twimg.com/profile_images/1761255949476691968/V2eXBXd2_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Okezone', 'username': '@okezonenews', 'profile_id': '1810540685612982272', 'avatar': 'https://pbs.twimg.com/profile_images/1810540685612982272/xGXr0xeX_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@MariaAlcaff,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@ListyoSigitP,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@DivHumas_Polri,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@tempodotco,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@KompasTV,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@Metro_TV,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@officialinews_,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@Beritasatu,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@liputan6dotcom,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@CNNIndonesia,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@cnnbrk,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@CNN,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@AJEnglish,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@nhk_news,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'mulya wijaya', 'username': '@mulya4Wij4y4', 'profile_id': '1731154404626370561', 'avatar': 'https://pbs.twimg.com/profile_images/1731154404626370561/GZqHZyGr_bigger.jpg'}",@TIME,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Yoshida Carlput', 'username': '@Yoshi14051', 'profile_id': '1651312989348442113', 'avatar': 'https://pbs.twimg.com/profile_images/1651312989348442113/USiWWFFy_bigger.jpg'}",@piscokgede,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Yoshida Carlput', 'username': '@Yoshi14051', 'profile_id': '1651312989348442113', 'avatar': 'https://pbs.twimg.com/profile_images/1651312989348442113/USiWWFFy_bigger.jpg'}",@ngurahsaka,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Lian', 'username': '@Lian_2791', 'profile_id': '1739960274822770688', 'avatar': 'https://pbs.twimg.com/profile_images/1739960274822770688/yUaDOn_2_bigger.jpg'}",@aewin86,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Lian', 'username': '@Lian_2791', 'profile_id': '1739960274822770688', 'avatar': 'https://pbs.twimg.com/profile_images/1739960274822770688/yUaDOn_2_bigger.jpg'}",@YLBHI,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Tameng Hitam', 'username': '@tamenghitam', 'profile_id': '1673389561605685249', 'avatar': 'https://pbs.twimg.com/profile_images/1673389561605685249/CA61TYDg_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': '𝒃𝒆𝒕𝒆𝒍𝒈𝒆𝒖𝒔𝒆', 'username': '@mzdra_', 'profile_id': '1720087310954577920', 'avatar': 'https://pbs.twimg.com/profile_images/1720087310954577920/GifmJEzq_bigger.jpg'}",@JhonSitorus_18,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kokom Komalawati', 'username': '@kokomkomalawat1', 'profile_id': '1797281612146847744', 'avatar': 'https://pbs.twimg.com/profile_images/1797281612146847744/mbC4TlzT_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'MATAcomm', 'username': '@senituart', 'profile_id': '648930452791652352', 'avatar': 'https://pbs.twimg.com/profile_images/648930452791652352/BzfzzlLd_bigger.jpg'}",@BarisanPemudaRI,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'lazuardi faris', 'username': '@berjalanbahagia', 'profile_id': '1432851198411870215', 'avatar': 'https://pbs.twimg.com/profile_images/1432851198411870215/hFLLFYQH_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'edi susanto', 'username': '@susantoedi22', 'profile_id': '1744925926541099008', 'avatar': 'https://pbs.twimg.com/profile_images/1744925926541099008/WXNZjWcJ_bigger.jpg'}",@jumintenkoplak,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'M.HASBI', 'username': '@kidnap18', 'profile_id': '1583076616397197315', 'avatar': 'https://pbs.twimg.com/profile_images/1583076616397197315/Kzo46iQQ_bigger.jpg'}",@MurtadhaOne1,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'ashera 🦋', 'username': '@liklium', 'profile_id': '1836775196671475712', 'avatar': 'https://pbs.twimg.com/profile_images/1836775196671475712/7GWtsAiG_bigger.png'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': '𝓨𝓾 𝓝𝓳𝓾𝓶 💎', 'username': '@jumintenkoplak', 'profile_id': '1780199518853804032', 'avatar': 'https://pbs.twimg.com/profile_images/1780199518853804032/tIQjR-rg_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Putri Salju ❄️', 'username': '@dfrdrd_', 'profile_id': '1837829042801917952', 'avatar': 'https://pbs.twimg.com/profile_images/1837829042801917952/upNqazRa_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'anggasptr', 'username': '@ggggggfrf3', 'profile_id': '699882736295739392', 'avatar': 'https://pbs.twimg.com/profile_images/699882736295739392/yk2nAj-3_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kompas.com', 'username': '@kompascom', 'profile_id': '1577144849437888514', 'avatar': 'https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Berita DIY', 'username': '@berita_diy', 'profile_id': '1745505580847128577', 'avatar': 'https://pbs.twimg.com/profile_images/1745505580847128577/7P_HK-Zy_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'هندريونو islam sword', 'username': '@hendriyonoN', 'profile_id': '1719625948931543040', 'avatar': 'https://pbs.twimg.com/profile_images/1719625948931543040/s4oURj4__bigger.jpg'}",@tempodotco,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'detikcom', 'username': '@detikcom', 'profile_id': '1777591926935748608', 'avatar': 'https://pbs.twimg.com/profile_images/1777591926935748608/E9N4gA5T_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kompas.com', 'username': '@kompascom', 'profile_id': '1577144849437888514', 'avatar': 'https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': ""Lek Tum's"", 'username': '@Lek_Tumidjo', 'profile_id': '1775324410511339520', 'avatar': 'https://pbs.twimg.com/profile_images/1775324410511339520/f6E11a1H_bigger.jpg'}",@Aryprasetyo85,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kabar SEJUK Official', 'username': '@sejukorg', 'profile_id': '1742430040980385792', 'avatar': 'https://pbs.twimg.com/profile_images/1742430040980385792/DYqktupl_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': '乃のﾘズ乇_刀ﾑﾉ刀ムムのﾚﾑ刀_ﾌ尺', 'username': '@jr_boyke', 'profile_id': '1606928461511393280', 'avatar': 'https://pbs.twimg.com/profile_images/1606928461511393280/TOwhyHCz_bigger.jpg'}",@PDI_Perjuangan,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Ruby Zahara', 'username': '@RubyZahara', 'profile_id': '1649027815315243008', 'avatar': 'https://pbs.twimg.com/profile_images/1649027815315243008/EKcVpe2W_bigger.jpg'}",@CNNIndonesia,Negative
